loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': False, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': False, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'transfer_learning': True, 'tl_every': 500, 'tl_start': 1000, 'tl_epochs': 2, 'tl_batch': 128, 'tl_max_mols': 500, 'tl_min_mols': 50, 'tl_lr': 1e-05, 'tl_max_kl': 8.0, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v5a', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)   buf  bscaf   rnll    sec
  1380   -0.0123   -0.146 -0.107   0.050  0.196   2.590  0.001   100.0  100.0     0.789   18.8    100.0    26     11  0.000   0.75
  1390   -0.0067   -0.147 -0.107   0.044  0.191   2.713  0.001   100.0  100.0     0.766   14.8    100.0    26     11  0.000   0.80
  1400   -0.0120   -0.136 -0.109   0.040  0.175   3.368  0.001   100.0  100.0     0.648   25.8     83.3    26     11  0.000   0.86
      saved checkpoint @ step 1400 | examples: ['CCOC(=O)c1ccc(N)cc1', 'Cc1ccc(NC(=O)CCCOc2ccccc2)cc1', 'CCCCCCCCCCCCCCCCCCCCCC(=O)O', 'CN(C)S(=O)(=O)c1ccc(Br)cc1', 'O=C(O)c1ccccc1C(=O)c1ccccc1']
  1410   -0.0107   -0.130 -0.109   0.034  0.164   3.591  0.001   100.0   99.2     0.543   30.5    100.0    26     11  0.000   0.60
  1420   -0.0113   -0.124 -0.109   0.033  0.158   3.944  0.001   100.0   97.7     0.544   30.5     91.7    26     11  0.000   0.95
  1430   -0.0158   -0.111 -0.109   0.025  0.137   4.524  0.002   100.0   94.5     0.430   42.2    100.0    26     11  0.000   0.93
  1440    0.0619   -0.124 -0.109   0.027  0.135   4.699  0.017    98.4   90.5     0.544   43.0    100.0    26     11  0.000   0.84
  1450    0.2815   -0.122 -0.081   0.031  0.153   3.698  0.130   100.0   98.4     0.611   21.9    100.0    26     11  0.000   0.98
  1460    0.0582   -0.162 -0.081   0.054  0.207   2.201  0.130    99.2  100.0     0.701    6.2     83.3    26     11  0.000   0.98
  1470   -0.1242   -0.158 -0.081   0.053  0.211   2.213  0.026   100.0  100.0     0.781    4.7     83.3    26     11  0.000   1.01
  1480   -0.1133   -0.156 -0.081   0.056  0.212   1.991  0.008   100.0  100.0     0.734    3.9     91.7    26     11  0.000   1.04
  1490   -0.0755   -0.154 -0.081   0.053  0.208   2.029  0.003   100.0  100.0     0.773    5.5    100.0    26     11  0.000   1.06
